year,species,species_latin,how_many_counted,total_hours,how_many_counted_by_hour
1994,"Highland Tinamou",Nothocercus bonapartei,0,184,0
1995,"Highland Tinamou",Nothocercus bonapartei,4,190,0.021052631578947368
1996,"Highland Tinamou",Nothocercus bonapartei,5,310,0.016129032258064516
1997,"Highland Tinamou",Nothocercus bonapartei,2,218,0.009174311926605505
1998,"Highland Tinamou",Nothocercus bonapartei,2,145,0.013793103448275862
1999,"Highland Tinamou",Nothocercus bonapartei,3,147,0.02040816326530612
2000,"Highland Tinamou",Nothocercus bonapartei,2,164,0.012195121951219513
2001,"Highland Tinamou",Nothocercus bonapartei,3,257,0.011673151750972763
2002,"Highland Tinamou",Nothocercus bonapartei,6,241,0.024896265560165973
2003,"Highland Tinamou",Nothocercus bonapartei,0,236,0
2004,"Highland Tinamou",Nothocercus bonapartei,0,200,0
2005,"Highland Tinamou",Nothocercus bonapartei,0,177,0
2006,"Highland Tinamou",Nothocercus bonapartei,0,236.5,0
2007,"Highland Tinamou",Nothocercus bonapartei,8,326,0.024539877300613498
2008,"Highland Tinamou",Nothocercus bonapartei,1,251,0.00398406374501992
2009,"Highland Tinamou",Nothocercus bonapartei,6,252,0.023809523809523808
2010,"Highland Tinamou",Nothocercus bonapartei,2,198,0.010101010101010102
2011,"Highland Tinamou",Nothocercus bonapartei,0,170,0
2012,"Highland Tinamou",Nothocercus bonapartei,1,100.5,0.009950248756218905
2013,"Highland Tinamou",Nothocercus bonapartei,1,169.75,0.005891016200294551
2014,"Highland Tinamou",Nothocercus bonapartei,3,265.5,0.011299435028248588
2015,"Highland Tinamou",Nothocercus bonapartei,1,162.5,0.006153846153846154
2016,"Highland Tinamou",Nothocercus bonapartei,5,NA,NA
2017,"Highland Tinamou",Nothocercus bonapartei,3,78.8,0.03807106598984772
2018,"Highland Tinamou",Nothocercus bonapartei,0,175.75,0
2019,"Highland Tinamou",Nothocercus bonapartei,1,182,0.005494505494505495
1994,"Great Tinamou",Tinamus major,0,184,0
1995,"Great Tinamou",Tinamus major,1,190,0.005263157894736842
1996,"Great Tinamou",Tinamus major,0,310,0
1997,"Great Tinamou",Tinamus major,0,218,0
1998,"Great Tinamou",Tinamus major,2,145,0.013793103448275862
1999,"Great Tinamou",Tinamus major,0,147,0
2000,"Great Tinamou",Tinamus major,0,164,0
2001,"Great Tinamou",Tinamus major,2,257,0.007782101167315175
2002,"Great Tinamou",Tinamus major,3,241,0.012448132780082987
2003,"Great Tinamou",Tinamus major,1,236,0.00423728813559322
2004,"Great Tinamou",Tinamus major,0,200,0
2005,"Great Tinamou",Tinamus major,0,177,0
2006,"Great Tinamou",Tinamus major,2,236.5,0.008456659619450317
2007,"Great Tinamou",Tinamus major,3,326,0.009202453987730062
2008,"Great Tinamou",Tinamus major,0,251,0
2009,"Great Tinamou",Tinamus major,3,252,0.011904761904761904
2010,"Great Tinamou",Tinamus major,4,198,0.020202020202020204
2011,"Great Tinamou",Tinamus major,0,170,0
2012,"Great Tinamou",Tinamus major,0,100.5,0
2013,"Great Tinamou",Tinamus major,1,169.75,0.005891016200294551
