species,count_year,how_many_cw,number_by_party_hours,flags
"Highland Tinamou
[Nothocercus bonapartei]","1994 [95]
Count Date: 12/20/1994
# Participants: 
# Species Reported: 311
Total Hrs.: 184.00",,,
"Highland Tinamou
[Nothocercus bonapartei]","1995 [96]
Count Date: 12/17/1995
# Participants: 
# Species Reported: 347
Total Hrs.: 190.00",4,0.0211,
"Highland Tinamou
[Nothocercus bonapartei]","1996 [97]
Count Date: 12/20/1996
# Participants: 
# Species Reported: 369
Total Hrs.: 310.00",5,0.0161,
"Highland Tinamou
[Nothocercus bonapartei]","1997 [98]
Count Date: 12/19/1997
# Participants: 
# Species Reported: 343
Total Hrs.: 218.00",2,0.0092,
"Highland Tinamou
[Nothocercus bonapartei]","1998 [99]
Count Date: 12/19/1998
# Participants: 
# Species Reported: 343
Total Hrs.: 145.00",2,0.0138,
"Highland Tinamou
[Nothocercus bonapartei]","1999 [100]
Count Date: 12/22/1999
# Participants: 
# Species Reported: 357
Total Hrs.: 147.00",3,0.0204,
"Highland Tinamou
[Nothocercus bonapartei]","2000 [101]
Count Date: 12/20/2000
# Participants: 
# Species Reported: 342
Total Hrs.: 164.00",2,0.0122,
"Highland Tinamou
[Nothocercus bonapartei]","2001 [102]
Count Date: 12/19/2001
# Participants: 
# Species Reported: 376
Total Hrs.: 257.00",3,0.0117,
"Highland Tinamou
[Nothocercus bonapartei]","2002 [103]
Count Date: 12/20/2002
# Participants: 
# Species Reported: 379
Total Hrs.: 241.00",6,0.0249,
"Highland Tinamou
[Nothocercus bonapartei]","2003 [104]
Count Date: 12/20/2003
# Participants: 4
# Species Reported: 344
Total Hrs.: 236.00",,,
"Highland Tinamou
[Nothocercus bonapartei]","2004 [105]
Count Date: 12/20/2004
# Participants: 5
# Species Reported: 320
Total Hrs.: 200.00",,,
"Highland Tinamou
[Nothocercus bonapartei]","2005 [106]
Count Date: 12/20/2005
# Participants: 5
# Species Reported: 366
Total Hrs.: 177.00",,,
"Highland Tinamou
[Nothocercus bonapartei]","2006 [107]
Count Date: 12/20/2006
# Participants: 7
# Species Reported: 363
Total Hrs.: 236.50",,,
"Highland Tinamou
[Nothocercus bonapartei]","2007 [108]
Count Date: 12/20/2007
# Participants: 39
# Species Reported: 306
Total Hrs.: 326.00",8,0.0245,
"Highland Tinamou
[Nothocercus bonapartei]","2008 [109]
Count Date: 12/14/2008
# Participants: 21
# Species Reported: 299
Total Hrs.: 251.00",1,0.004,
"Highland Tinamou
[Nothocercus bonapartei]","2009 [110]
Count Date: 12/14/2009
# Participants: 41
# Species Reported: 338
Total Hrs.: 252.00",6,0.0238,
"Highland Tinamou
[Nothocercus bonapartei]","2010 [111]
Count Date: 12/14/2010
# Participants: 42
# Species Reported: 311
Total Hrs.: 198.00",2,0.0101,
"Highland Tinamou
[Nothocercus bonapartei]","2011 [112]
Count Date: 12/14/2011
# Participants: 54
# Species Reported: 286
Total Hrs.: 170.00",,,
"Highland Tinamou
[Nothocercus bonapartei]","2012 [113]
Count Date: 12/14/2012
# Participants: 26
# Species Reported: 246
Total Hrs.: 100.50",1,0.01,
"Highland Tinamou
[Nothocercus bonapartei]","2013 [114]
Count Date: 12/14/2013
# Participants: 51
# Species Reported: 284
Total Hrs.: 169.75",1,0.0059,
"Highland Tinamou
[Nothocercus bonapartei]","2014 [115]
Count Date: 12/14/2014
# Participants: 68
# Species Reported: 331
Total Hrs.: 265.50",3,0.0113,
"Highland Tinamou
[Nothocercus bonapartei]","2015 [116]
Count Date: 12/14/2015
# Participants: 72
# Species Reported: 317
Total Hrs.: 162.50",1,0.0062,
"Highland Tinamou
[Nothocercus bonapartei]","2016 [117]
Count Date: 12/14/2016
# Participants: 55
# Species Reported: 365
Total Hrs.: ",5,0,
"Highland Tinamou
[Nothocercus bonapartei]","2017 [118]
Count Date: 12/14/2017
# Participants: 44
# Species Reported: 272
Total Hrs.: 78.80",3,0.0381,
"Highland Tinamou
[Nothocercus bonapartei]","2018 [119]
Count Date: 12/15/2018
# Participants: 89
# Species Reported: 339
Total Hrs.: 175.75",cw,0,
"Highland Tinamou
[Nothocercus bonapartei]","2019 [120]
Count Date: 12/14/2019
# Participants: 115
# Species Reported: 385
Total Hrs.: 182.00",1,0.0055,
"Great Tinamou
[Tinamus major]","1994 [95]
Count Date: 12/20/1994
# Participants: 
# Species Reported: 311
Total Hrs.: 184.00",,,
"Great Tinamou
[Tinamus major]","1995 [96]
Count Date: 12/17/1995
# Participants: 
# Species Reported: 347
Total Hrs.: 190.00",1,0.0053,
"Great Tinamou
[Tinamus major]","1996 [97]
Count Date: 12/20/1996
# Participants: 
# Species Reported: 369
Total Hrs.: 310.00",,,
"Great Tinamou
[Tinamus major]","1997 [98]
Count Date: 12/19/1997
# Participants: 
# Species Reported: 343
Total Hrs.: 218.00",,,
"Great Tinamou
[Tinamus major]","1998 [99]
Count Date: 12/19/1998
# Participants: 
# Species Reported: 343
Total Hrs.: 145.00",2,0.0138,
"Great Tinamou
[Tinamus major]","1999 [100]
Count Date: 12/22/1999
# Participants: 
# Species Reported: 357
Total Hrs.: 147.00",,,
"Great Tinamou
[Tinamus major]","2000 [101]
Count Date: 12/20/2000
# Participants: 
# Species Reported: 342
Total Hrs.: 164.00",,,
"Great Tinamou
[Tinamus major]","2001 [102]
Count Date: 12/19/2001
# Participants: 
# Species Reported: 376
Total Hrs.: 257.00",2,0.0078,
"Great Tinamou
[Tinamus major]","2002 [103]
Count Date: 12/20/2002
# Participants: 
# Species Reported: 379
Total Hrs.: 241.00",3,0.0124,"HC,"
"Great Tinamou
[Tinamus major]","2003 [104]
Count Date: 12/20/2003
# Participants: 4
# Species Reported: 344
Total Hrs.: 236.00",1,0.0042,
"Great Tinamou
[Tinamus major]","2004 [105]
Count Date: 12/20/2004
# Participants: 5
# Species Reported: 320
Total Hrs.: 200.00",,,
"Great Tinamou
[Tinamus major]","2005 [106]
Count Date: 12/20/2005
# Participants: 5
# Species Reported: 366
Total Hrs.: 177.00",,,
"Great Tinamou
[Tinamus major]","2006 [107]
Count Date: 12/20/2006
# Participants: 7
# Species Reported: 363
Total Hrs.: 236.50",2,0.0085,
"Great Tinamou
[Tinamus major]","2007 [108]
Count Date: 12/20/2007
# Participants: 39
# Species Reported: 306
Total Hrs.: 326.00",3,0.0092,
"Great Tinamou
[Tinamus major]","2008 [109]
Count Date: 12/14/2008
# Participants: 21
# Species Reported: 299
Total Hrs.: 251.00",,,
"Great Tinamou
[Tinamus major]","2009 [110]
Count Date: 12/14/2009
# Participants: 41
# Species Reported: 338
Total Hrs.: 252.00",3,0.0119,
